index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
1370,982058913,0,0,0,1,A,No,No
1375,982096089,0,0,0,0,A,No,No
1386,982098065,0,0,0,0,A,No,No
1387,982113033,0,0,0,0,A,No,No
1391,982098705,0,0,0,0,A,No,No
1392,982120153,0,0,0,0,A,No,No
1401,982121713,0,0,0,0,A,No,No
1402,982115529,0,0,0,0,A,No,No
1403,982122369,0,0,0,0,A,No,No
1426,961687208,0,0,0,0,A,No,No
1432,961660648,0,0,0,0,A,No,No
1440,961689928,0,0,0,0,A,No,No
1449,982028009,0,0,0,0,A,No,No
1461,982012169,0,0,0,0,A,No,No
1487,982080089,0,0,0,0,A,No,No
1495,982070985,0,0,0,0,A,No,No
1525,961680120,0,0,0,0,A,No,No
1527,961680328,0,0,0,0,A,No,No
1532,961701096,0,0,0,0,A,No,No
1533,961691424,0,0,0,0,A,No,No
1535,982021337,0,0,0,0,A,No,No
1538,982034593,0,0,0,0,A,No,No
1553,982024217,0,0,0,0,A,No,No
1557,982037377,0,0,0,0,A,No,No
1561,982013881,0,0,0,0,A,No,No
1565,982025849,0,0,0,0,A,No,No
1575,961686472,0,0,0,0,A,No,No
1582,961677832,0,0,0,0,A,No,No
1585,961659608,0,0,0,0,A,No,No
1590,961697808,0,0,0,0,A,No,No
1594,961669920,0,0,0,0,A,No,No
1595,961670224,0,0,0,0,A,No,No
1596,961670544,0,0,0,0,A,No,No
1598,961699424,0,0,0,0,A,No,No
1613,982036289,0,0,0,0,A,No,No
1623,982020217,0,0,0,0,A,No,No
1660,961661864,0,0,0,0,A,No,No
1666,982044673,0,0,0,0,A,No,No
1669,982010297,0,0,0,0,A,No,No
1671,982044881,0,0,0,0,A,No,No
1678,982085193,0,0,0,0,A,No,No
1681,982035257,0,0,0,0,A,No,No
1697,982048145,0,0,0,0,A,No,No
1701,982030897,0,0,0,0,A,No,No
1704,982058761,0,0,0,0,A,No,No
1706,982013977,0,0,0,0,A,No,No
1715,982117553,0,0,0,0,A,No,No
1732,982097345,0,0,0,0,A,No,No
1737,982069897,0,0,0,0,A,No,No
1739,982118809,0,0,0,0,A,No,No
1745,982091505,0,0,0,0,A,No,No
1751,982091881,0,0,0,0,A,No,No
1756,982098657,0,0,0,0,A,No,No
1757,982040945,0,0,0,0,A,No,No
1758,982120089,0,0,0,0,A,No,No
1782,982102145,0,0,0,0,A,No,No
1797,961661288,0,0,0,0,A,No,No
1803,961699640,0,0,0,0,A,No,No
1804,961699704,0,0,0,0,A,No,No
1806,961680376,0,0,0,0,A,No,No
1823,982035473,0,0,0,1,A,No,No
1824,982022673,0,0,0,0,A,No,No
1827,982023177,0,0,0,0,A,No,No
1830,982024393,0,0,0,0,A,No,No
1831,982037337,0,0,0,0,A,No,No
1846,982071145,0,0,0,0,A,No,No
1847,982071161,0,0,0,0,A,No,No
1851,982081449,0,0,0,0,A,No,No
1856,982053585,0,0,0,0,A,No,No
1864,982045817,0,0,0,0,A,No,No
1881,982046449,0,0,0,0,A,No,No
1889,982067849,0,0,0,0,A,No,No
1911,982091785,0,0,0,0,A,No,No
1912,982091849,0,0,0,0,A,No,No
1923,982099641,0,0,0,0,A,No,No
1930,982101169,0,0,0,0,A,No,No
1955,1117061453,0,0,0,0,A,No,No
1962,1117042117,0,0,0,0,A,No,No
2010,1117111245,0,0,0,0,A,No,No
2025,1117108005,0,0,0,1,A,No,No
2034,982044553,0,0,0,0,A,No,No
2050,982048913,0,0,0,0,A,No,No
2052,982088721,0,0,0,0,A,No,No
2056,982103313,0,0,0,0,A,No,No
2060,982117737,0,0,0,0,A,No,No
2062,982103985,0,0,0,0,A,No,No
2079,982099241,0,0,0,0,A,No,No
2085,982093217,0,0,0,0,A,No,No
2086,982107209,0,0,0,0,A,No,No
2091,982122721,0,0,0,0,A,No,No
2133,982078753,0,0,0,0,A,No,No
2143,982104601,0,0,0,0,A,No,No
2147,982118705,0,0,0,0,A,No,No
2152,982113193,0,0,0,0,A,No,No
2158,982120969,0,0,0,0,A,No,No
2173,1117080917,0,0,0,0,A,No,No
2186,982043521,0,0,0,0,A,No,No
2187,982073329,0,0,0,0,A,No,No
2189,982083785,0,0,0,0,A,No,No
2190,982064393,0,0,0,0,A,No,No
2201,982056809,0,0,0,0,A,No,No
2202,982076809,0,0,0,0,A,No,No
2204,982077065,0,0,0,0,A,No,No
2206,982078185,0,0,0,0,A,No,No
2227,982105577,0,0,0,0,A,No,No
2230,982113377,0,0,0,0,A,No,No
2231,982120217,0,0,0,0,A,No,No
2237,982099857,0,0,0,0,A,No,No
2239,982121489,0,0,0,0,A,No,No
2243,982072897,0,0,0,0,A,No,No
2250,982053633,0,0,0,0,A,No,No
2256,982083937,0,0,0,0,A,No,No
2266,982085665,0,0,0,0,A,No,No
2270,982056529,0,0,0,0,A,No,No
2284,982103457,0,0,0,0,A,No,No
2294,982112329,0,0,0,1,A,No,No
2298,982098113,0,0,0,0,A,No,No
2306,982114513,0,0,0,0,A,No,No
2317,1117070637,0,0,0,0,A,No,No
2323,1117042645,0,0,0,0,A,No,No
2326,1117083685,0,0,0,0,A,No,No
2327,1117044189,0,0,0,0,A,No,No
2332,1117055381,0,0,0,0,A,No,No
2353,1117094717,0,0,0,0,A,No,No
2357,1117101525,0,0,0,0,A,No,No
2380,1117158381,0,0,0,0,A,No,No
2384,982046577,0,0,0,1,A,No,No
2390,982110897,0,0,0,0,A,No,No
2392,982090137,0,0,0,0,A,No,No
2395,982097169,0,0,0,0,A,No,No
2407,982107281,0,0,0,0,A,No,No
2408,982093273,0,0,0,0,A,No,No
2410,982107449,0,0,0,1,A,No,No
2417,982102641,0,0,0,0,A,No,No
2423,1117041277,0,0,0,0,A,No,No
2427,1117052197,0,0,0,0,A,No,No
2437,1117043733,0,0,0,1,A,No,No
2438,1117073301,0,0,0,0,A,No,No
2440,1117044165,0,0,0,0,A,No,No
2444,1117065061,0,0,0,1,A,No,No
2447,982124073,0,0,0,0,A,No,No
2450,1117069165,0,0,0,0,A,No,No
2451,1117039197,0,0,0,0,A,No,No
2458,1117070309,0,0,0,0,A,No,No
2466,1117072245,0,0,0,0,A,No,No
2469,1117072869,0,0,0,0,A,No,No
2474,1117045373,0,0,0,0,A,No,No
2476,1117045709,0,0,0,0,A,No,No
2494,1117105853,0,0,0,0,A,No,No
2502,1117102389,0,0,0,0,A,No,No
2509,1117098301,0,0,0,0,A,No,No
2517,1117157277,0,0,0,1,A,No,No
2529,1117149781,0,0,0,0,A,No,No
2539,1117109125,0,0,0,0,A,No,No
2540,1117093469,0,0,0,0,A,No,No
2543,1117135861,0,0,0,0,A,No,No
2549,1117127101,0,0,0,0,A,No,No
2553,1117138661,0,0,0,0,A,No,No
2556,1117121293,0,0,0,0,A,No,No
2566,1117187941,0,0,0,0,A,No,No
2574,1117181773,0,0,0,0,A,No,No
2575,1117181821,0,0,0,0,A,No,No
2600,1117235469,0,0,0,0,A,No,No
2601,1117213573,0,0,0,0,A,No,No
2609,1117050973,0,0,0,0,A,No,No
2611,1117071037,0,0,0,0,A,No,No
2613,1117041325,0,0,0,0,A,No,No
2622,1117042461,0,0,0,0,A,No,No
2626,1117043845,0,0,0,0,A,No,No
2628,1117064141,0,0,0,0,A,No,No
2642,1117046565,0,0,0,0,A,No,No
2643,1117076053,0,0,0,0,A,No,No
2647,1117057829,0,0,0,0,A,No,No
2649,1117047965,0,0,0,0,A,No,No
2655,1117111213,0,0,0,1,A,No,No
2675,1117104477,0,0,0,0,A,No,No
2678,1117146717,0,0,0,0,A,No,No
2683,1117117141,0,0,0,0,A,No,No
2692,1117139757,0,0,0,0,A,No,No
2696,1117081285,0,0,0,0,A,No,No
2703,1117053973,0,0,0,0,A,No,No
2710,1117084349,0,0,0,0,A,No,No
2720,1117085509,0,0,0,0,A,No,No
2733,1117077301,0,0,0,0,A,No,No
2737,1117087845,0,0,0,0,A,No,No
2760,1117107293,0,0,0,0,A,No,No
2778,1117148413,0,0,0,0,A,No,No
2800,1117080797,0,0,0,0,A,No,No
2802,1117061477,0,0,0,0,A,No,No
2804,1117052053,0,0,0,1,A,No,No
2807,1117053165,0,0,0,0,A,No,No
2810,1117054125,0,0,0,0,A,No,No
2830,1117057813,0,0,0,1,A,No,No
2831,1117067805,0,0,0,0,A,No,No
2842,1117111997,0,0,0,0,A,No,No
2856,1117136125,0,0,0,0,A,No,No
2860,1117127717,0,0,0,0,A,No,No
2867,982123049,0,0,0,0,A,No,No
2868,982123281,0,0,0,0,A,No,No
2891,1117043637,0,0,0,0,A,No,No
2897,1117085429,0,0,0,1,A,No,No
